"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"lppC","","hypothetical protein","15","118","4","139","78.94736842105263","54.08560311284047","4.4173728813559325","0.0075370476765843925","1.0","0.39421582672584604","12","8","4","0.3876953125000001","0.3876953125000001"
"mshD_1","","hypothetical protein","15","118","4","139","78.94736842105263","54.08560311284047","4.4173728813559325","0.0075370476765843925","1.0","0.39421582672584604","13","10","3","0.09228515625000003","0.09228515625000003"
"fixN","","Cytochrome c oxidase subunit 1 , bacteroid","14","106","5","151","73.68421052631578","58.754863813229576","3.9886792452830186","0.0076426057720316975","1.0","0.3993519053001336","11","8","4","0.22656250000000003","0.548828125"
"hrpB","","ATP-dependent RNA helicase HrpB","16","134","3","123","84.21052631578947","47.85992217898833","4.895522388059701","0.007647680074719587","1.0","0.3993519053001336","7","5","3","0.4531249999999996","0.9999999999999998"
"motA","","Motility protein A","15","119","4","138","78.94736842105263","53.69649805447471","4.348739495798319","0.0077626853440931","1.0","0.4022960104920087","14","10","4","0.17956542968750003","0.17956542968750003"
"speB","","Arginase","15","119","4","138","78.94736842105263","53.69649805447471","4.348739495798319","0.0077626853440931","1.0","0.4022960104920087","7","4","4","0.9999999999999998","0.9999999999999998"
"clcD","","hypothetical protein","15","119","4","138","78.94736842105263","53.69649805447471","4.348739495798319","0.0077626853440931","1.0","0.4022960104920087","10","6","4","0.7539062500000002","0.7539062500000002"
"group_471","","hypothetical protein","15","119","4","138","78.94736842105263","53.69649805447471","4.348739495798319","0.0077626853440931","1.0","0.4022960104920087","10","7","3","0.3437499999999999","0.3437499999999999"
"group_3826","","hypothetical protein","4","9","15","248","21.052631578947366","96.49805447470817","7.348148148148148","0.007791748852575298","1.0","0.4022960104920087","8","3","7","0.0703125","0.7265625000000002"
"group_5324","","hypothetical protein","4","9","15","248","21.052631578947366","96.49805447470817","7.348148148148148","0.007791748852575298","1.0","0.4022960104920087","7","3","5","0.4531249999999996","0.9999999999999998"
"atpG_2","","ATP synthase gamma chain","4","9","15","248","21.052631578947366","96.49805447470817","7.348148148148148","0.007791748852575298","1.0","0.4022960104920087","10","4","7","0.3437499999999999","0.7539062500000002"
"group_5726","","hypothetical protein","4","9","15","248","21.052631578947366","96.49805447470817","7.348148148148148","0.007791748852575298","1.0","0.4022960104920087","5","2","4","0.375","1.0"
"group_5754","","hypothetical protein","4","9","15","248","21.052631578947366","96.49805447470817","7.348148148148148","0.007791748852575298","1.0","0.4022960104920087","11","4","8","0.22656250000000003","0.548828125"
"group_5755","","hypothetical protein","4","9","15","248","21.052631578947366","96.49805447470817","7.348148148148148","0.007791748852575298","1.0","0.4022960104920087","11","4","8","0.22656250000000003","0.548828125"
"group_5784","","hypothetical protein","4","9","15","248","21.052631578947366","96.49805447470817","7.348148148148148","0.007791748852575298","1.0","0.4022960104920087","11","4","7","0.548828125","0.548828125"
"rlmM","","Ribosomal RNA large subunit methyltransferase M","4","9","15","248","21.052631578947366","96.49805447470817","7.348148148148148","0.007791748852575298","1.0","0.4022960104920087","6","3","4","0.6875000000000002","1.0"
"group_6398","","hypothetical protein","4","9","15","248","21.052631578947366","96.49805447470817","7.348148148148148","0.007791748852575298","1.0","0.4022960104920087","5","3","4","0.375","1.0"
"group_6595","","hypothetical protein","4","9","15","248","21.052631578947366","96.49805447470817","7.348148148148148","0.007791748852575298","1.0","0.4022960104920087","6","4","4","0.6875000000000002","0.6875000000000002"
"ycfT","","hypothetical protein","8","40","11","217","42.10526315789473","84.43579766536965","3.9454545454545453","0.007826421735751368","1.0","0.4027910590269027","12","5","7","0.7744140625000003","0.7744140625000003"
"group_2819","","hypothetical protein","8","40","11","217","42.10526315789473","84.43579766536965","3.9454545454545453","0.007826421735751368","1.0","0.4027910590269027","5","5","2","0.0625","1.0"
"group_2834","","hypothetical protein","8","40","11","217","42.10526315789473","84.43579766536965","3.9454545454545453","0.007826421735751368","1.0","0.4027910590269027","7","4","4","0.9999999999999998","0.9999999999999998"
"group_2953","","hypothetical protein","8","40","11","217","42.10526315789473","84.43579766536965","3.9454545454545453","0.007826421735751368","1.0","0.4027910590269027","16","7","10","0.45449829101562506","0.8036193847656252"
"mshA_7","","hypothetical protein","7","31","12","226","36.84210526315789","87.93774319066148","4.252688172043011","0.00784539538187765","1.0","0.4031215199860957","17","6","11","0.33230590820312506","0.33230590820312506"
"group_3189","","hypothetical protein","7","31","12","226","36.84210526315789","87.93774319066148","4.252688172043011","0.00784539538187765","1.0","0.4031215199860957","10","4","8","0.10937500000000003","0.7539062500000002"
"group_1711","","hypothetical protein","11","70","8","187","57.89473684210527","72.76264591439688","3.6732142857142858","0.007860788071595277","1.0","0.4035895739812095","15","10","5","0.30175781250000017","0.30175781250000017"
